date	Surinam	Essequibo	Berbice
16601001	0.0	4.0	0.0
16701001	17.0	1.0	1.0
16801001	32.0	3.0	0.0
16901001	97.0	2.0	1.0
17001001	72.0	12.0	0.0
17131001	96.0	11.0	4.0
